subject_id,run_id,epoch_id,y_label,heuristic_id_score
s01,s01_ex01_s02,s01_ex01_s02_epoch000,0,67
s01,s01_ex01_s02,s01_ex01_s02_epoch001,0,64
s01,s01_ex01_s02,s01_ex01_s02_epoch002,0,58
s01,s01_ex01_s02,s01_ex01_s02_epoch003,0,68
s01,s01_ex01_s02,s01_ex01_s02_epoch004,0,74
s01,s01_ex01_s02,s01_ex01_s02_epoch005,0,90
s01,s01_ex01_s02,s01_ex01_s02_epoch006,0,57
s01,s01_ex01_s02,s01_ex01_s02_epoch007,0,69
s01,s01_ex01_s02,s01_ex01_s02_epoch008,0,62
s01,s01_ex01_s02,s01_ex01_s02_epoch009,0,91
s01,s01_ex01_s02,s01_ex01_s02_epoch010,0,94
s01,s01_ex01_s02,s01_ex01_s02_epoch011,0,84
s01,s01_ex01_s02,s01_ex01_s02_epoch012,0,73
s01,s01_ex01_s02,s01_ex01_s02_epoch013,0,73
s01,s01_ex01_s02,s01_ex01_s02_epoch014,0,85
s01,s01_ex01_s02,s01_ex01_s02_epoch015,0,61
s01,s01_ex01_s02,s01_ex01_s02_epoch016,0,51
s01,s01_ex01_s02,s01_ex01_s02_epoch017,0,61
s01,s01_ex01_s02,s01_ex01_s02_epoch018,0,69
s01,s01_ex01_s02,s01_ex01_s02_epoch019,0,64
s01,s01_ex01_s02,s01_ex01_s02_epoch020,0,64
s01,s01_ex01_s02,s01_ex01_s02_epoch021,0,66
s01,s01_ex01_s02,s01_ex01_s02_epoch022,0,71
s01,s01_ex01_s02,s01_ex01_s02_epoch023,0,73
s01,s01_ex01_s03,s01_ex01_s03_epoch000,0,73
s01,s01_ex01_s03,s01_ex01_s03_epoch001,0,67
s01,s01_ex01_s03,s01_ex01_s03_epoch002,0,68
s01,s01_ex01_s03,s01_ex01_s03_epoch003,0,68
s01,s01_ex01_s03,s01_ex01_s03_epoch004,0,72
s01,s01_ex01_s03,s01_ex01_s03_epoch005,0,58
s01,s01_ex01_s03,s01_ex01_s03_epoch006,0,57
s01,s01_ex01_s03,s01_ex01_s03_epoch007,0,62
s01,s01_ex01_s03,s01_ex01_s03_epoch008,0,61
s01,s01_ex01_s03,s01_ex01_s03_epoch009,0,57
s01,s01_ex01_s03,s01_ex01_s03_epoch010,0,63
s01,s01_ex01_s03,s01_ex01_s03_epoch011,0,67
s01,s01_ex01_s03,s01_ex01_s03_epoch012,0,69
s01,s01_ex01_s03,s01_ex01_s03_epoch013,0,62
s01,s01_ex01_s03,s01_ex01_s03_epoch014,0,66
s01,s01_ex01_s03,s01_ex01_s03_epoch015,0,58
s01,s01_ex01_s03,s01_ex01_s03_epoch016,0,59
s01,s01_ex01_s03,s01_ex01_s03_epoch017,0,64
s01,s01_ex01_s03,s01_ex01_s03_epoch018,0,68
s01,s01_ex01_s03,s01_ex01_s03_epoch019,0,66
s01,s01_ex01_s03,s01_ex01_s03_epoch020,0,65
s01,s01_ex01_s03,s01_ex01_s03_epoch021,0,71
s01,s01_ex01_s03,s01_ex01_s03_epoch022,0,64
s01,s01_ex01_s03,s01_ex01_s03_epoch023,0,67
s01,s01_ex02_s01,s01_ex02_s01_epoch000,0,75
